Document Type,Document No.,Order Type,Channel Code,Channel Name,Sub Channel Code,Sub Channel Name,Region Code,Region Name,Area Code,Area Name,Township Code,Township Name,SE Code,SFA User Id.,SE Name,Customer No.,Customer Name,Brand,Brand Name,Pack Type,Pack Type Name,Item No.,Description,Base Unit of Measure,Beer Type Code,Beer Type Description,Year,Month,Day,Invoiced Quantity,Invoiced Qty. In HL,Sales Amount (Actual),Sales Tax Amount (Actual),Total Amount (Actual),Discount Amount (Sales),Discount Amount (Tax),Discount Amount,Gross Sale,Gross Tax Amount,Total Sales Incl.Tax,Invoice/Credit Memo No.,Posting Date,Location Code,Order No.,SFA Order No.,Order Date,Cr. Memo External Document No.,Return Order No.,Return Reason,Posted Warehouse Shipment/Receipt,External Document No.
Sales Shipment,SS-YGN/2021/1013124,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013022,Mingalartaungnyunt,SE-040,SE-10830,Zaw Min Htwe,C000011,C000011_Seik Ku Thit,BL3700,YOMA Classic,PT001,30 Liter Keg,10YOM30K,Yoma Classic 30 Litre Keg,KEG,BT001,Lager,2021,12,1,4,1.2,"210,666.67","10,533.33","221,200.00",0,0,0,"210,666.67","10,533.33","221,200.00",PSI-YGN/2021/1013153,01-12-21,YGN-01,YGN-01/2021/1013151,SE-10830291120212106020456,29-11-21,,,,YGN-PWS/2021/002994,SE-10830291120212106020456
Sales Return Receipt,SR-YGN/2021/206985,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013022,Mingalartaungnyunt,SE-040,SE-10830,Zaw Min Htwe,C000011,C000011_Seik Ku Thit,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000032,Keg 30L,PCS,,,2021,12,1,-4,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005883,02-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/1013153,YGN-01/2021/2007501,Empty Return,YGN-PWR/2021/002057,
Sales Return Receipt,SR-YGN/2021/206985,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013022,Mingalartaungnyunt,SE-040,SE-10830,Zaw Min Htwe,C000011,C000011_Seik Ku Thit,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000037,Crate,CRATE,,,2021,12,1,-2,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005883,02-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/1013153,YGN-01/2021/2007501,Empty Return,YGN-PWR/2021/002057,
Sales Return Receipt,SR-YGN/2021/206985,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013022,Mingalartaungnyunt,SE-040,SE-10830,Zaw Min Htwe,C000011,C000011_Seik Ku Thit,BG0201,Tuborg Green,,,4000109,Tuborg 640ml Bottle Crt Return,BOTTLE,,,2021,12,1,-24,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005883,02-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/1013153,YGN-01/2021/2007501,Empty Return,YGN-PWR/2021/002057,
Sales Shipment,SS-YGN/2021/1013153,,PB,Premium Bar,PB-D,Premium Bar (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013011,South Okkalapa,SE-024,SE-10751,Min Kyaw Swar,C000113,C000113_COZY,BG0101,Carlsberg,PT006,10 Liter Keg,10CBG10K,Carlsberg 10 Liter KEG,KEG,BT001,Lager,2021,12,1,6,0.6,"177,714.29","8,885.71","186,600.00",0,0,0,"177,714.29","8,885.71","186,600.00",PSI-YGN/2021/1013182,01-12-21,YGN-01,YGN-01/2021/1013227,SE-10751301120211024391182,30-11-21,,,,YGN-PWS/2021/002996,SE-10751301120211024391182
Sales Return Receipt,SR-YGN/2021/206941,,PB,Premium Bar,PB-D,Premium Bar (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013011,South Okkalapa,SE-024,SE-10751,Min Kyaw Swar,C000113,C000113_COZY,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000053,Keg 10L,PCS,,,2021,12,1,-5,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005876,02-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/1013182,YGN-01/2021/2007458,Empty Return,YGN-PWR/2021/002053,
Sales Return Receipt,SR-YGN/2021/206917,,PB,Premium Bar,PB-D,Premium Bar (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013044,Bahan,SE-016,SE-10628,Kyaw Khaing Lin,C000139,C000139_Ginki Kids,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000032,Keg 30L,PCS,,,2021,12,1,-9,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005494,02-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/1013058,YGN-01/2021/2007433,Empty Return,YGN-PWR/2021/002045,
Sales Return Receipt,SR-NPT/2021/201645,,BG,Beer Garden,BG-D,Beer Garden (Draught),REG-08,Central,NPT,Naypyitaw,MMR018002,Za Bu Thi Ri,SE-122,SE-10377,Ye Ko Ko Naing,C000184,C000184_Aung Chan Thar,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000032,Keg 30L,PCS,,,2021,12,1,-23,0,0,0,0,0,0,0,0,0,0,PSCR-NPT/2021/001644,01-12-21,NPT-01,,,,EMPTY/PSI-NPT/2021/1003269,NPT-01/2021/2001655,Empty Return,NPT-PWR/2021/000611,
Sales Return Receipt,SR-NPT/2021/201645,,BG,Beer Garden,BG-D,Beer Garden (Draught),REG-08,Central,NPT,Naypyitaw,MMR018002,Za Bu Thi Ri,SE-122,SE-10377,Ye Ko Ko Naing,C000184,C000184_Aung Chan Thar,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000053,Keg 10L,PCS,,,2021,12,1,-3,0,0,0,0,0,0,0,0,0,0,PSCR-NPT/2021/001644,01-12-21,NPT-01,,,,EMPTY/PSI-NPT/2021/1003269,NPT-01/2021/2001655,Empty Return,NPT-PWR/2021/000611,
Sales Return Receipt,SR-NPT/2021/201641,,PB,Premium Bar,PB-D,Premium Bar (Draught),REG-08,Central,NPT,Naypyitaw,MMR018006,Pyinmana,SE-123,SE-10376,San Lwin Oo,C000189,C000189_Kyauk Mel,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000032,Keg 30L,PCS,,,2021,12,1,-2,0,0,0,0,0,0,0,0,0,0,PSCR-NPT/2021/001645,01-12-21,NPT-01,,,,EMPTY/PSI-NPT/2021/1003247,NPT-01/2021/2001651,Empty Return,NPT-PWR/2021/000611,
